userid,firstname,lastname,email,city,lat,lon,type
164425a0-1339-401f-af10-20878c5d677f,Dennie,Merriott,Dennie.Merriott@mail.com,Tampa,132.92632096401940,03.50615915819177,solar
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,Merrie,Firmin,Merrie.Firmin@mail.com,Virginia Beach,41.48055739952224,41.04893883172568,medium
40c15082-6f50-4f28-a4b2-24d7256d6d28,Constance,Ammann,Constance.Ammann@mail.com,Timbuktu,01.98306145375874,-03.95339749868423,low
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,Janis,Berard,Janis.Berard@mail.com,Seoul,-38.97556739568973,-122.82792244763804,low
7a287f88-ed7d-4a92-8a84-7cebfe462ced,Gratia,Nikaniki,Gratia.Nikaniki@mail.com,Bahía Blanca,-37.09819839477929,05.96491638681685,medium
8f26ef89-8d88-4137-bd12-240c8b3b70f3,Maryellen,Sandye,Maryellen.Sandye@mail.com,Maracaibo,-104.83462563277521,-11.52574710367480,low
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,Ezmeralda,Reinke,Ezmeralda.Reinke@mail.com,The Valley,144.61174189967605,-179.17832182080677,low
be09b014-49f8-4d21-8703-46affc9b2159,Gratia,Riva,Gratia.Riva@mail.com,Santiago de Cuba,-175.27697670759832,-130.39100558917467,medium
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,Zaria,Schalles,Zaria.Schalles@mail.com,Almaty,48.77871801193658,-177.87811290937715,medium
578c1de9-6135-4511-b624-3fcef72d32b5,Barbara,Sasnett,Barbara.Sasnett@mail.com,Zamboanga City,-145.81334330759934,155.90994669910486,medium
714c533a-230e-448f-a88e-250459a76dc5,Joceline,Darbie,Joceline.Darbie@mail.com,Fredericton,61.17847792462384,-09.60511709640751,medium
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,Kimmy,Fiester,Kimmy.Fiester@mail.com,Abu Dhabi,113.42443025453605,-04.54112325550273,low
1c7d20bc-eea1-4022-ac8c-23855119d88f,Mariele,Sophronia,Mariele.Sophronia@mail.com,Abu Dhabi,-121.74324991645725,-72.12600310592381,low
d2849633-91a5-486f-aa94-05282eb9288a,Anthia,Constancy,Anthia.Constancy@mail.com,Shenyang,72.05274759608962,-67.15393872714231,low
0f9ec80c-fda2-48bf-a506-718b206f5edd,Vere,Argus,Vere.Argus@mail.com,Tianjin,96.02634458279901,-119.24212997801959,high
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,Rosabelle,Bettine,Rosabelle.Bettine@mail.com,Macapá,161.70385812978036,-50.08092164215623,medium
a62d755d-65d0-4724-a662-b6331366deb2,Leona,Zenas,Leona.Zenas@mail.com,Dunedin,83.37631500293044,144.20577482442511,medium
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,Stevana,Koehler,Stevana.Koehler@mail.com,Dushanbe,99.90514470395972,-173.01972614464718,low
