id,userid,firstname,lastname,email,city,lat,lon
1,63e097bf-da74-4788-84db-70836d84a6e9,Wynne,Zachary,Wynne.Zachary@mail.com,Ljubljana,-176.30504118337426,150.20987613179312
2,13420040-1682-4fb1-bbfd-c14d6e068523,Shirlee,McNully,Shirlee.McNully@mail.com,Gold Coast,-09.26189032395319,119.94138911485204
3,0ebf095b-264f-4efe-9634-f2b1b744dc12,Sue,Katrine,Sue.Katrine@mail.com,San Juan,151.71373452807759,-13.36269567526173
4,3477d9c3-a6e7-40b1-8b82-81dd89b21617,Willetta,Hoban,Willetta.Hoban@mail.com,Iqaluit,-57.59494999423581,-135.57434232483206
5,efd40620-9c18-44c1-a429-1fea317b91b4,Ellette,Florina,Ellette.Florina@mail.com,Wollongong,140.68592870923099,126.40111696294466
6,2771ad89-38fe-4f63-a593-7759e2158b07,Dale,Leopold,Dale.Leopold@mail.com,Sri Jayawardenapura-Kotte,148.42582504446970,-67.38980788222558
7,8eebe7b2-92c4-4012-af60-3c0b734a3564,Mariele,Sisile,Mariele.Sisile@mail.com,Luanda,113.38790628757541,41.73761759614671
8,c0a4da67-fcbe-4563-84c6-1d02a1187ca7,Sadie,Gibbeon,Sadie.Gibbeon@mail.com,Antwerp,-58.74195086973208,110.18884478033173
9,1605b16d-0bec-4457-ae9a-b1ae3000dea3,Marsiella,Rodmann,Marsiella.Rodmann@mail.com,Hagåtña,177.77723672841288,12.88173208214757
10,4c327dac-22f2-4a0d-80d8-5e80428a5569,Louella,Bluh,Louella.Bluh@mail.com,Bujumbura,165.51486557347842,72.40668262637565
11,10b05c7c-2053-4470-837c-aa40f09df839,Shaine,Anselmi,Shaine.Anselmi@mail.com,Valletta,-81.24495553907365,108.11420168671167
12,4d1d93ff-537f-43f2-bd23-c40dc09cecf9,Ethel,Huggins,Ethel.Huggins@mail.com,Cardiff,-109.08132983579693,150.15275052175493
13,64923735-fb10-4755-a4e3-563abfa3c5d8,Aurelie,Dunkin,Aurelie.Dunkin@mail.com,Dar es Salaam,-52.04249716246550,75.96560661147162
